Case Number,Missing Date,Gender,Race,Age Missing,Missing City,Missing State,Missing Zip,Lat,Lon,Vehicle Style,Vehicle Color
1193039,2012-04-19,Female,Black,10,East Orange,NJ,7081,40.7875862,-74.2180643,,
1194231,2012-05-08,Male,White,10,Warner Robins,GA,31088,32.590481,-83.624201,,
1197557,2012-06-26,Male,Hispanic,10,Van Nuys,CA,91405,34.2037124,-118.4571974,,
1198725,2012-07-13,Female,White,10,Evansdale,IA,50707,42.4742493,-92.2876645,,
1200727,2012-08-14,Female,Am. Ind.,10,Ukiah,CA,95482,39.1501709,-123.2077831,,
1200804,2012-08-15,Male,Black,10,Philadelphia,PA,19134,39.9863531,-75.1019942,,
1201206,2012-08-22,Male,Am. Ind.,10,Fairbanks,AK,99701,64.8377778,-147.7163888,,
1202063,2012-08-28,Female,Black,10,Chicago,IL,60651,41.9024826,-87.7418842,,
1203248,2012-09-24,Female,Black,10,Bear Lake,MI,49614,44.4208349,-86.148143,,
1203807,2012-10-05,Female,White,10,Westminster,CO,,39.8366528,-105.0372046,,
1205487,2012-11-02,Female,Biracial,10,Covington,KY,41011,39.073028,-84.5274616,,
1208078,2012-12-21,Female,Black,10,Las Vegas,NV,89106,36.1922841,-115.1592718,,
1210151,2013-02-01,Female,Black,10,Indianapolis,IN,46226,39.8420351,-86.0427626,,
1213042,2013-03-27,Female,White,10,Northridge,CA,91324,34.2413938,-118.5506158,,
1214798,2013-04-26,Male,Biracial,10,Keller,TX,76248,32.9259646,-97.2329255,,
1217443,2013-06-09,Female,White,10,Port Deposit,MD,21904,39.6048327,-76.1152289,,
1218465,2013-06-26,Male,White,10,Fresno,CA,,36.7468422,-119.7725868,,
1220164,2013-07-28,Male,White,10,Kiryas Joel,NY,10950,41.3420381,-74.167924,,
1220595,2013-08-04,Male,Black,10,Rochester,NY,14613,43.1816979,-77.6364299,,
1222845,2013-09-14,Male,White,10,Belding,MI,48809,43.0978094,-85.228906,,
1224677,2013-10-27,Male,White,10,Santa Fe,NM,87505,35.616067,-105.8525154,"Sedan, 4 door",Green
1225117,2013-11-08,Male,White,10,Oroville,CA,95965,39.5137752,-121.556359,,
1228437,2014-02-11,Male,White,10,Newville,PA,17241,40.1731433,-77.3985963,,
1228552,2014-02-14,Male,White,10,Beaumont,CA,92223,33.9334088,-116.9734685,,
1228708,2014-02-18,Female,White,10,Springfield,MO,65802,37.1953893,-93.3892894,Pickup Truck,Gold
1231795,2014-05-02,Male,Hispanic,10,Corpus Christi,TX,78416,27.7538925,-97.4435441,,
1232487,2014-05-20,Male,Black,10,Philadelphia,PA,19123,39.9644541,-75.145782,,
1235382,2014-07-18,Female,White,10,Port Charlotte,FL,33953,26.9942593,-82.2257298,,
1235668,2014-07-24,Female,Black,10,Skokie,IL,60076,42.026064,-87.7271123,,
1236864,2014-08-19,Female,Black,10,Jersey City,NJ,7305,40.7008528,-74.0887576,,
1239837,2014-10-30,Female,White,10,Rio Rancho,NM,87124,35.4452297,-106.8532381,,
1245852,2015-03-18,Male,Black,10,Crystal,MN,55422,45.0167268,-93.3364004,,
1248566,2015-05-19,Male,Black,10,Kankakee,IL,60901,41.1200325,-87.8611531,,
1249958,2015-06-15,Male,Hispanic,10,Porterville,CA,93257,36.06523,-119.0167679,,
1251723,2015-07-20,Female,White,10,Nevada City,CA,95959,39.2615606,-121.0160594,,
1262851,2016-02-17,Male,Hispanic,10,Porterville,CA,93257,36.06523,-119.0167679,,
1263356,2016-02-25,Female,White,10,Paradise,CA,95969,39.7596061,-121.6219177,,
1269641,2016-06-03,Male,Biracial,10,Chicago,IL,,41.8781136,-87.6297982,,
1269646,2016-06-04,Male,Black,10,Rochester,MN,55904,43.9562492,-92.4208713,,
1271193,2016-06-27,Male,Hispanic,10,Dallas,TX,75203,32.7432998,-96.7868794,,
1272890,2016-07-17,Male,Black,10,Buckeye,AZ,85326,33.3072204,-112.5721881,,
1277097,2016-09-01,Female,Black,10,Minneapolis,MN,55407,44.9398026,-93.2533339,,
1278084,2016-10-02,Male,Asian,10,Waukesha,WI,53189,42.9480628,-88.2655845,,
