Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1189999,Closed,Internet,2/28/2012,4:00 PM,Street,Village Rd & Edgewood Rd,San Juan Capistrano,CA,92675,Orange,458294,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,Male,,Unknown,Unknown,,,,,37-40,30-35,,"Sedan, 2 door",,Black,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1259258,Closed,Internet,12/9/2015,7:50 AM,Street,Vista Delgado Dr & Decoro Dr,Valencia,CA,91354,Los Angeles,549793,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,White,,,,,,50-59,,,,,,,Fought/Broke Free,Ran away,0,0,0,0,-1,Questions; Conversation
Attempted Abduction,1188436,Closed,Internet,2/1/2012,12:00 AM,Street,Vista Hermosa St,Rio Communities,NM,87002,Marion,456577,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,,,Hispanic,,,,,,Unknown,,,,,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1188437,Closed,Internet,2/1/2012,12:00 AM,School - Bus Stop,Vista Hermosa St,Rio Communities,NM,87002,Marion,456578,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Hispanic,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1234917,Closed,Internet,7/8/2014,1:00 PM,Street,Vista Woods Rd,Stafford,VA,22556,Stafford,512927,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,Female,,White,Black,,,,,30,30,,Pickup Truck,,Black,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1249379,Closed,Internet,5/28/2015,12:00 AM,Street,Vollmerhausen Rd & Savage Guilford Rd,Jessup,MD,20794,Howard,534894,,,,,,Unknown,,,,,,Unknown,,,,,,10,,,,,,Male,,,Black,,,25,,,,,,,,Green,,Other,Suspect drove away,0,0,0,0,-1,None
Attempted Abduction,1249377,Closed,Internet,5/28/2015,9:00 AM,School - Bus Stop,Vollmerhausen Rd & Savage Guilford Rd,Jessup,MD,20794,Howard,534890,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,Black,,,25,,,,,,,,Green,,Ignored/Refused,,0,0,0,-1,0,
Attempted Abduction,1278475,Closed,Internet,10/3/2016,4:30 PM,Street,W 11th St & Florida Ave,Panama City,FL,32401,Bay,576694,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,White,,,,,,35,,,,,,,Ran Away,,0,0,0,0,-1,Called out
Attempted Abduction,1283628,Closed,Internet,12/6/2016,12:00 AM,Street,W 11th St & S Main St,Joplin,MO,64836,Jasper,583498,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Unknown,,,Unknown,,,,,,Unknown,,,,,,,Adult/Child Intervened,,0,-1,0,0,0,
Attempted Abduction,1227086,Closed,Internet,12/18/2013,12:00 AM,Street,W 129th Pl & S Moody Ave,Palos Heights,IL,60463,Cook,501386,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,White,,,,,,16-19,,,Van,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1245424,Closed,Internet,3/10/2015,4:10 PM,Street,W 12th Ave & S 29th St,Corsicana,TX,75110,Navarro,528580,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,,,,30-35,,,Pickup Truck,,Gold,,Ignored/Refused,,-1,0,0,0,0,
